,TransactionType,Channel,CustomerAge,CustomerOccupation,AccountBalance,CustomerAge_bin,AccountBalance_bin,TransactionAmount_bin,cluster
0,Debit,ATM,70.0,Doctor,5112.21,4.0,4.0,4.0,2
1,Debit,ATM,68.0,Doctor,13758.91,4.0,4.0,4.0,2
2,Debit,Online,19.0,Student,1122.35,1.0,1.0,1.0,1
3,Debit,Online,26.0,Student,8569.06,1.0,1.0,1.0,1
4,Credit,Online,26.0,Student,7429.4,1.0,1.0,1.0,1
5,Debit,ATM,18.0,Student,781.68,1.0,1.0,1.0,1
6,Credit,ATM,37.0,Doctor,13316.71,2.0,2.0,2.0,3
7,Credit,Branch,67.0,Retired,2796.24,4.0,4.0,4.0,3
8,Credit,Branch,51.0,Engineer,9095.14,3.0,3.0,3.0,3
9,Debit,ATM,55.0,Doctor,1021.8800000000001,3.0,3.0,3.0,2
10,Credit,Online,52.0,Engineer,7599.5199999999995,3.0,3.0,3.0,3
11,Debit,Online,21.0,Student,1528.81,1.0,1.0,1.0,1
12,Credit,Branch,24.0,Student,1620.02,1.0,1.0,1.0,1
13,Debit,ATM,26.0,Student,189.69,1.0,1.0,1.0,1
14,Debit,Online,18.0,Student,299.93,1.0,1.0,1.0,1
15,Debit,ATM,36.0,Engineer,3465.54,2.0,2.0,2.0,0
16,Credit,Branch,19.0,Student,1131.26,1.0,1.0,1.0,1
17,Debit,Online,39.0,Engineer,5109.97,2.0,2.0,2.0,0
18,Credit,Branch,59.0,Retired,7948.369999999999,3.0,3.0,3.0,3
19,Credit,Online,18.0,Student,6568.59,1.0,1.0,1.0,1
20,Debit,Branch,71.0,Retired,5750.89,4.0,4.0,4.0,2
21,Debit,Branch,38.0,Doctor,9146.19,2.0,2.0,2.0,0
22,Debit,Online,39.0,Engineer,8974.93,2.0,2.0,2.0,0
23,Debit,Online,21.0,Student,1930.96,1.0,1.0,1.0,1
24,Credit,Online,65.0,Retired,3634.67,4.0,4.0,4.0,3
25,Debit,Branch,37.0,Engineer,2686.52,2.0,2.0,2.0,0
26,Debit,Online,44.0,Doctor,1772.06,2.0,2.0,2.0,0
27,Debit,Branch,27.0,Student,1351.69,1.0,1.0,1.0,1
28,Credit,Online,59.0,Doctor,8334.47,3.0,3.0,3.0,3
29,Debit,ATM,29.0,Doctor,9823.64,1.0,1.0,1.0,0
30,Debit,Online,22.0,Student,399.0,1.0,1.0,1.0,1
31,Credit,Branch,45.0,Doctor,14815.87,2.0,2.0,2.0,3
32,Debit,Branch,49.0,Engineer,5764.72,2.0,2.0,2.0,0
33,Debit,Branch,26.0,Student,900.61,1.0,1.0,1.0,1
34,Debit,ATM,75.0,Retired,4875.86,4.0,4.0,4.0,2
35,Debit,Online,55.0,Retired,1019.39,3.0,3.0,3.0,2
36,Debit,ATM,63.0,Retired,4323.66,3.0,3.0,3.0,2
37,Debit,Online,38.0,Doctor,14214.48,2.0,2.0,2.0,0
38,Credit,Online,57.0,Doctor,13357.02,3.0,3.0,3.0,3
39,Debit,ATM,19.0,Student,241.79000000000002,1.0,1.0,1.0,1
40,Debit,Branch,27.0,Student,868.61,1.0,1.0,1.0,1
41,Debit,Branch,74.0,Retired,4673.28,4.0,4.0,4.0,2
42,Debit,Branch,26.0,Student,1509.27,1.0,1.0,1.0,1
43,Debit,Online,19.0,Student,781.7,1.0,1.0,1.0,1
44,Debit,Online,26.0,Student,265.51,1.0,1.0,1.0,1
45,Credit,Online,41.0,Engineer,1335.09,2.0,2.0,2.0,3
46,Credit,Online,69.0,Retired,3907.5399999999995,4.0,4.0,4.0,3
47,Debit,Online,51.0,Engineer,5183.85,3.0,3.0,3.0,2
48,Debit,Branch,67.0,Doctor,14904.9,4.0,4.0,4.0,2
49,Debit,Branch,28.0,Student,918.8799999999999,1.0,1.0,1.0,1
50,Debit,ATM,62.0,Retired,4477.78,3.0,3.0,3.0,2
51,Debit,Branch,25.0,Student,1324.03,1.0,1.0,1.0,1
52,Credit,Branch,57.0,Retired,3534.93,3.0,3.0,3.0,3
53,Credit,Branch,68.0,Retired,4638.37,4.0,4.0,4.0,3
54,Debit,Branch,48.0,Engineer,5630.61,2.0,2.0,2.0,0
